Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Energetyczne;Prog_Energii_99.0%;0;51;0.3988130460352902;0.631516465371482;3.5820915889799645;9.997756710762557
Energetyczne;Prog_Energii_99.9%;0;534;0.03980698032567491;0.19951686727110293;3.027096451669901;3.158620888050197
Energetyczne;Prog_Energii_99.99%;0;2715;0.003986778850367834;0.06314094432591133;0.8077733051601403;0.9996062406495282
Energetyczne;Prog_Energii_99.0%;1;93;0.32285710808885126;0.5682051637294854;3.7484712134869236;9.983959143040698
Energetyczne;Prog_Energii_99.9%;1;892;0.032349707148781964;0.1798602433801922;2.6446652332514047;3.1603326333375446
Energetyczne;Prog_Energii_99.99%;1;3199;0.0032352361000100955;0.05687913589366575;0.5008686460333713;0.9994259206066947
Energetyczne;Prog_Energii_99.0%;2;47;0.34970447601404087;0.5913581622113969;3.817001649444789;9.893837564832404
Energetyczne;Prog_Energii_99.9%;2;463;0.03565516881933384;0.18882576312392818;3.125050082099068;3.159187693321841
Energetyczne;Prog_Energii_99.99%;2;2538;0.0035678311685972395;0.05973132485218488;0.9523977474057972;0.9993470343079416
Energetyczne;Prog_Energii_99.0%;3;71;0.3645457863951773;0.6037762718053579;4.113239390778426;9.941263056469115
Energetyczne;Prog_Energii_99.9%;3;699;0.0368770112656921;0.19203388051511144;2.9114716930926425;3.161865431125644
Energetyczne;Prog_Energii_99.99%;3;2942;0.0036840161963977865;0.06069609704419047;0.6092702663847174;0.9993699577047879
Energetyczne;Prog_Energii_99.0%;4;134;0.38590901407103784;0.6212157548477323;4.484996713740276;9.947398614497377
Energetyczne;Prog_Energii_99.9%;4;1210;0.038954693833372404;0.19736943490158856;2.802025461783755;3.160435690761617
Energetyczne;Prog_Energii_99.99%;4;3422;0.0038956428904178254;0.0624150854394819;0.4878684704812919;0.9994397752784298
Energetyczne;Prog_Energii_99.0%;5;76;0.359373807494316;0.599477945794769;3.8351456583734516;9.938644017829121
Energetyczne;Prog_Energii_99.9%;5;727;0.03635155061333262;0.19066082611100954;3.040088835950372;3.1609337627097047
Energetyczne;Prog_Energii_99.99%;5;3006;0.003634601790292048;0.06028765868975215;0.678856172379402;0.9994989516944753
Energetyczne;Prog_Energii_99.0%;6;87;0.3568088865172674;0.5973348194415485;3.471407428384005;9.971750696249886
Energetyczne;Prog_Energii_99.9%;6;797;0.035842230063947524;0.18932044280517496;2.831706699114627;3.1604657821919817
