Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MAX_ERROR);Tolerancja_0.01;0;4893;6.421472228703669e-06;0.002534062396371421;0.009833517917239298;0.04011762276682754
Fidelity (MAX_ERROR);Tolerancja_0.1;0;4253;0.00035262633804778424;0.01877834758565791;0.09969544140620945;0.2972865489439086
Fidelity (MAX_ERROR);Tolerancja_1.0;0;2464;0.005113257765149192;0.07150704696146522;0.9991414857272245;1.1320529199587297
Fidelity (MAX_ERROR);Tolerancja_0.01;1;4898;7.437462006102891e-06;0.002727171062860357;0.009881360144619045;0.04791924854917992
Fidelity (MAX_ERROR);Tolerancja_0.1;1;4327;0.00037940041612744463;0.019478203616541352;0.09944632416023325;0.3422524142704918
Fidelity (MAX_ERROR);Tolerancja_1.0;1;2495;0.006975039170328861;0.08351669994874594;0.9983272746833061;1.4674757874021054
Fidelity (MAX_ERROR);Tolerancja_0.01;2;4875;6.947191335842129e-06;0.0026357525179428604;0.009856646456224416;0.04409799160648516
Fidelity (MAX_ERROR);Tolerancja_0.1;2;4162;0.0003325680697355021;0.01823644893435951;0.09951878599116526;0.30510860430368925
Fidelity (MAX_ERROR);Tolerancja_1.0;2;2487;0.003757986135637694;0.06130241541438391;0.9992895343526165;1.0256324833223103
Fidelity (MAX_ERROR);Tolerancja_0.01;3;4911;7.831451048547184e-06;0.002798472985137999;0.009649397936318138;0.04607725974141596
Fidelity (MAX_ERROR);Tolerancja_0.1;3;4130;0.0005867946458465383;0.02422384457196129;0.099907096690663;0.3988490809829664
Fidelity (MAX_ERROR);Tolerancja_1.0;3;2498;0.005924765576214371;0.07697249883051979;0.9999114663226019;1.2673632514572235
Fidelity (MAX_ERROR);Tolerancja_0.01;4;4921;7.640470401420859e-06;0.002764140083537891;0.009953704000388974;0.04426159997181831
Fidelity (MAX_ERROR);Tolerancja_0.1;4;4333;0.0005927255455168658;0.024345955424194505;0.09962111120102257;0.389846718093311
Fidelity (MAX_ERROR);Tolerancja_1.0;4;2653;0.009862259498804642;0.09930890946337415;0.9982304218720159;1.5902129021910454
Fidelity (MAX_ERROR);Tolerancja_0.01;5;4909;5.928794537043573e-06;0.0024349116076448386;0.00990215605617939;0.04036798993694229
Fidelity (MAX_ERROR);Tolerancja_0.1;5;4189;0.0005217848567941944;0.022842610551208772;0.09966440393390918;0.37870379769415774
Fidelity (MAX_ERROR);Tolerancja_1.0;5;2540;0.006005572597632175;0.07749562953891126;0.9977547338139803;1.2847870056398711
Fidelity (MAX_ERROR);Tolerancja_0.01;6;4897;7.329863050478069e-06;0.0027073719822880028;0.00985983500729759;0.045196157281820075
Fidelity (MAX_ERROR);Tolerancja_0.1;6;4266;0.0004755077842262324;0.021806140975106816;0.09947284661039246;0.3640259940887681
Fidelity (MAX_ERROR);Tolerancja_1.0;6;2501;0.006760584314128637;0.08222277247897104;0.9990837124155165;1.3726053831606684
Fidelity (MAX_ERROR);Tolerancja_0.01;7;4918;5.934809265454149e-06;0.00243614639655628;0.009948468103972985;0.036906245318904164
Fidelity (MAX_ERROR);Tolerancja_0.1;7;4267;0.0004520235247456479;0.021260844873749678;0.09899318231980292;0.32208982091838106
Fidelity (MAX_ERROR);Tolerancja_1.0;7;2434;0.0071327714364647936;0.08445573655154985;0.9993277675543131;1.279456824173757
Fidelity (MAX_ERROR);Tolerancja_0.01;8;4876;7.176786354865626e-06;0.0026789524734241975;0.009894060047984432;0.04436445527371241
Fidelity (MAX_ERROR);Tolerancja_0.1;8;4264;0.0004015501456132572;0.020038716166792155;0.09973930283973287;0.33184863708610446
Fidelity (MAX_ERROR);Tolerancja_1.0;8;2379;0.0072738966310889695;0.08528714223778969;0.9991440563949645;1.4123869851244046
Fidelity (MAX_ERROR);Tolerancja_0.01;9;4897;7.886915691049697e-06;0.0028083653058406945;0.00984605020654783;0.041439447228366164
Fidelity (MAX_ERROR);Tolerancja_0.1;9;4202;0.0005426839239275152;0.02329557734694539;0.09920005788687014;0.3437429760705874
Fidelity (MAX_ERROR);Tolerancja_1.0;9;2553;0.006330937661925333;0.07956718960680548;0.9995939665457696;1.1740710326976445
Fidelity (MAX_ERROR);Tolerancja_0.01;10;4895;8.487395994464582e-06;0.0029133135764048096;0.009947601750610602;0.0466384673975993
Fidelity (MAX_ERROR);Tolerancja_0.1;10;4204;0.0005282178846535082;0.022982991203355323;0.09957954241374622;0.3679286344656974
Fidelity (MAX_ERROR);Tolerancja_1.0;10;2605;0.00587722407956611;0.07666305550632659;0.9998837289275144;1.2272786025472953
Fidelity (MAX_ERROR);Tolerancja_0.01;11;4839;6.315679514772292e-06;0.002513101572712948;0.009941992365362307;0.04939348830648488
Fidelity (MAX_ERROR);Tolerancja_0.1;11;4005;0.00027270857808032404;0.016513890458650985;0.09960914965855494;0.32457050845875957
Fidelity (MAX_ERROR);Tolerancja_1.0;11;1980;0.003706320443803365;0.060879556862738125;0.9996805287348149;1.1965507931131718
Fidelity (MAX_ERROR);Tolerancja_0.01;12;4875;7.071294184260455e-06;0.002659190512968271;0.009810704831364703;0.045826034556420064
Fidelity (MAX_ERROR);Tolerancja_0.1;12;4257;0.0003128841969076084;0.017688532921291366;0.09951873163116165;0.30482784777938327
Fidelity (MAX_ERROR);Tolerancja_1.0;12;2481;0.004489297972461221;0.06700222363818398;0.9989987597588454;1.1546544712861049
Fidelity (MAX_ERROR);Tolerancja_0.01;13;4888;7.009133476719146e-06;0.0026474768132543004;0.009778597516435283;0.05275176003522159
Fidelity (MAX_ERROR);Tolerancja_0.1;13;4200;0.00041581778384372096;0.020391610624070893;0.09948207260768216;0.4063088843639057
Fidelity (MAX_ERROR);Tolerancja_1.0;13;2563;0.004811176308654956;0.06936264346645792;0.999607015600918;1.3820712254146406
Fidelity (MAX_ERROR);Tolerancja_0.01;14;4913;5.759710561468493e-06;0.002399939699548406;0.009620167661262613;0.036656436570942565
Fidelity (MAX_ERROR);Tolerancja_0.1;14;4219;0.0005218115717199403;0.022843195304508963;0.09976796654722797;0.3489046578607575
Fidelity (MAX_ERROR);Tolerancja_1.0;14;2671;0.0057894380478203415;0.0760883568479458;0.99998614256676;1.1621658773796675
Fidelity (MAX_ERROR);Tolerancja_0.01;15;4894;8.331169873977678e-06;0.0028863765994716763;0.009891155867409296;0.04333297932870652
Fidelity (MAX_ERROR);Tolerancja_0.1;15;4274;0.00043312285692025966;0.020811603900715094;0.09933131346142687;0.3124432209545997
Fidelity (MAX_ERROR);Tolerancja_1.0;15;2570;0.005786027572033113;0.0760659422608641;0.9994813357023071;1.1419729165667223
Fidelity (MAX_ERROR);Tolerancja_0.01;16;4911;8.138585986906826e-06;0.0028528207071084623;0.009860981579104866;0.046629897847148834
Fidelity (MAX_ERROR);Tolerancja_0.1;16;4395;0.0004952102529388442;0.022253320043059736;0.09999853861804375;0.36373475479275313
Fidelity (MAX_ERROR);Tolerancja_1.0;16;2671;0.00968490966485347;0.09841193862968796;0.99948173845209;1.6085618818623366
