Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Energetyczne;Prog_Energii_99.0%;0;6;0.16016729747779268;0.4002090672108675;1.2312471254067603;7.589146950260284
Energetyczne;Prog_Energii_99.9%;0;11;0.019637741472065765;0.14013472614618322;0.6225952781242032;2.657368652263727
Energetyczne;Prog_Energii_99.99%;0;16;0.0020378764966852508;0.04514284546509281;0.36411927341196115;0.856041794292904
Energetyczne;Prog_Energii_99.0%;1;7;0.2952500722088108;0.5433691859213318;1.651159305716556;9.965068798560885
Energetyczne;Prog_Energii_99.9%;1;30;0.02878389392050621;0.16965816785674132;1.3926130994542225;3.1114302370009423
Energetyczne;Prog_Energii_99.99%;1;267;0.0029646081391454123;0.05444821520624356;1.3239427892054163;0.9985479937900271
Energetyczne;Prog_Energii_99.0%;2;2;0.1887783182849946;0.4344862693860355;1.221611553472978;8.006997645392305
Energetyczne;Prog_Energii_99.9%;2;16;0.026709150271554596;0.16342934336144962;1.0989157910004312;3.01178301752151
Energetyczne;Prog_Energii_99.99%;2;140;0.0029202473112821883;0.054039312646278065;0.9877642706512404;0.995871859722511
Energetyczne;Prog_Energii_99.0%;3;5;0.21885776762723652;0.46782236760039225;0.9385218972305838;9.229229127629416
Energetyczne;Prog_Energii_99.9%;3;10;0.0010868609278860508;0.0329675738853506;0.10651056266582337;0.6503863736371238
Energetyczne;Prog_Energii_99.99%;3;11;0.0010868609278860508;0.0329675738853506;0.10651056266582337;0.6503863736371238
Energetyczne;Prog_Energii_99.0%;4;1;0.32543688357564815;0.5704707561090648;0.9415957088969851;9.431575379671454
Energetyczne;Prog_Energii_99.9%;4;5;0.03019572551832905;0.1737691730956013;0.3942391685113167;2.8729203682458455
Energetyczne;Prog_Energii_99.99%;4;11;0.0012622004760333716;0.03552746087230794;0.1689844120657682;0.5873744125832782
Energetyczne;Prog_Energii_99.0%;5;4;0.20280726212242217;0.45034127295021736;1.1629195817422717;7.951787554308849
Energetyczne;Prog_Energii_99.9%;5;10;0.02132731036251156;0.14603872898143;0.797500823001978;2.5786420595075894
Energetyczne;Prog_Energii_99.99%;5;17;0.0031508356777522808;0.05613230511703827;0.4942134761726482;0.9911420339074128
Energetyczne;Prog_Energii_99.0%;6;4;0.2241301681759438;0.47342387791063495;1.3244542591482213;9.21545950116602
Energetyczne;Prog_Energii_99.9%;6;13;0.019996644821554867;0.1414094933926109;0.3841035257783263;2.7526145601088525
Energetyczne;Prog_Energii_99.99%;6;19;0.002561872057423364;0.050614939073591346;0.34503146376030447;0.985247983784023
Energetyczne;Prog_Energii_99.0%;7;7;0.219117695430156;0.468100091252027;1.0453375893904582;8.61277211910965
Energetyczne;Prog_Energii_99.9%;7;11;0.022948069803817736;0.1514862033447856;0.6467187884594177;2.787258906760777
Energetyczne;Prog_Energii_99.99%;7;50;0.0028677329950718856;0.05355121842751933;0.6311849441891315;0.9853115810835515
Energetyczne;Prog_Energii_99.0%;8;7;0.29072017534473005;0.5391847321138925;1.421153880012346;9.74225931905108
Energetyczne;Prog_Energii_99.9%;8;25;0.02974512699796967;0.1724677564009275;1.3988770658072216;3.1162336523242864
Energetyczne;Prog_Energii_99.99%;8;224;0.0030549505566022503;0.055271607146909076;1.2527188013212571;0.9986750323860496
Energetyczne;Prog_Energii_99.0%;9;5;0.1935177627838409;0.4399065386918463;0.7785517943762343;7.9656574334510095
Energetyczne;Prog_Energii_99.9%;9;9;0.016861228864347436;0.12985079462347326;0.560343950984989;2.351287958819244
Energetyczne;Prog_Energii_99.99%;9;14;0.00205660548773644;0.04534981243331046;0.28714516868592455;0.8211768608605683
Energetyczne;Prog_Energii_99.0%;10;6;0.2524374133534521;0.5024315011555825;1.0845132846788523;9.146861994696273
Energetyczne;Prog_Energii_99.9%;10;11;0.029041494829926365;0.17041565312472434;0.43191570278731195;3.1024497016662917
Energetyczne;Prog_Energii_99.99%;10;15;0.0028440357922267;0.053329502081181104;0.2666028399026352;0.970873829886276
Energetyczne;Prog_Energii_99.0%;11;9;0.26413087920046513;0.513936649014706;1.3992269018739742;9.51912038158008
Energetyczne;Prog_Energii_99.9%;11;20;0.02550088467036098;0.15968996421303683;1.1691768310301809;2.95777309516336
Energetyczne;Prog_Energii_99.99%;11;147;0.002908329236382101;0.053928927639830745;1.0080932979603228;0.9988701043937047
Energetyczne;Prog_Energii_99.0%;12;5;0.3579284262730705;0.5982711979303955;1.1797846709869342;9.607704213083766
Energetyczne;Prog_Energii_99.9%;12;14;0.0332556847328628;0.182361412400932;1.2812286902780565;2.9285623581568134
Energetyczne;Prog_Energii_99.99%;12;99;0.0038759109058710906;0.062256814132037715;0.9942396622700942;0.9997891549830908
Energetyczne;Prog_Energii_99.0%;13;3;0.12930377512680258;0.3595883411997705;1.298399760362054;5.815302519499038
Energetyczne;Prog_Energii_99.9%;13;7;0.02978703600632088;0.17258921173213834;0.8339441698886452;2.7911318661654585
Energetyczne;Prog_Energii_99.99%;13;43;0.0038214411803119803;0.06181780633694454;0.6553895510874206;0.9997244174872223
