Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MAX_ERROR);Tolerancja_0.01;0;4791;4.762496225497778e-07;0.0006901084136204817;0.0099696544350234;0.01308649551364943
Fidelity (MAX_ERROR);Tolerancja_0.1;0;2905;5.600009711909793e-06;0.0023664339652544274;0.09999059040123282;0.044874583266101754
Fidelity (MAX_ERROR);Tolerancja_1.0;0;8;0.06802835449312927;0.2608224578005684;0.993929358528197;4.945964802775525
Fidelity (MAX_ERROR);Tolerancja_0.01;1;4965;2.7375667555672034e-06;0.0016545593841162678;0.009788308244126576;0.030343638397651456
Fidelity (MAX_ERROR);Tolerancja_0.1;1;4643;2.8039725116268577e-05;0.00529525496234776;0.09984075686957361;0.0971118373528012
Fidelity (MAX_ERROR);Tolerancja_1.0;1;1425;0.000518476686404446;0.02277008314443419;0.999831959465312;0.41758982835675434
Fidelity (MAX_ERROR);Tolerancja_0.01;2;4951;1.9839487876835897e-06;0.0014085271696646785;0.009859301493408523;0.025957261542264624
Fidelity (MAX_ERROR);Tolerancja_0.1;2;4504;2.0224214996467472e-05;0.004497134087001128;0.0998008640950987;0.08287613345414692
Fidelity (MAX_ERROR);Tolerancja_1.0;2;101;0.004066617473211286;0.06377003585706445;0.9997067638229087;1.1751960025701769
Fidelity (MAX_ERROR);Tolerancja_0.01;3;1785;4.8634459468077244e-08;0.000220532218662211;0.009999974812604506;0.0043506734970752406
Fidelity (MAX_ERROR);Tolerancja_0.1;3;12;0.00045559142512608455;0.021344587724434608;0.08600388946440862;0.42108737073440433
Fidelity (MAX_ERROR);Tolerancja_1.0;3;5;0.21885776762723652;0.46782236760039225;0.9385218972305838;9.229229127629416
Fidelity (MAX_ERROR);Tolerancja_0.01;4;4606;2.5431725488766147e-07;0.0005042987754175708;0.009990960341940358;0.008337556068023038
Fidelity (MAX_ERROR);Tolerancja_0.1;4;1070;5.85498989170808e-06;0.002419708637771928;0.09998607887743205;0.04000496812429932
Fidelity (MAX_ERROR);Tolerancja_1.0;4;1;0.32543688357564815;0.5704707561090648;0.9415957088969851;9.431575379671454
Fidelity (MAX_ERROR);Tolerancja_0.01;5;4663;2.968764283588195e-07;0.0005448636786929548;0.009984320283909831;0.009620793116833691
Fidelity (MAX_ERROR);Tolerancja_0.1;5;1664;4.8477976705430665e-06;0.0022017714846330138;0.0999978566864721;0.03887722520798649
