Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MSE);Tolerancja_0.01;0;13;0.00695324874672448;0.0833861424142194;0.49118419405375047;1.5812477533483995
Fidelity (MSE);Tolerancja_0.1;0;8;0.06802835449312927;0.2608224578005684;0.993929358528197;4.945964802775525
Fidelity (MSE);Tolerancja_1.0;0;4;0.577927503812867;0.7602154325011213;2.322428887720355;14.41593183111675
Fidelity (MSE);Tolerancja_0.01;1;80;0.009975838646672792;0.09987912017370193;1.3769906816669515;1.8317238626313435
Fidelity (MSE);Tolerancja_0.1;1;14;0.08689701172665132;0.29478299090458276;1.4484000744301646;5.4061453264576675
Fidelity (MSE);Tolerancja_1.0;1;1;0.7177263083431168;0.847187292364042;1.7508050903058283;15.536912788603466
Fidelity (MSE);Tolerancja_0.01;2;42;0.009745122753657551;0.09871738830448033;1.0323987891511086;1.8192287107949205
Fidelity (MSE);Tolerancja_0.1;2;5;0.08447213138809964;0.29064089765223966;1.1302920238860255;5.356120888341665
Fidelity (MSE);Tolerancja_1.0;2;1;0.3473621756104485;0.5893743934125816;1.1409039274442554;10.861377476847679
Fidelity (MSE);Tolerancja_0.01;3;10;0.009708180291736215;0.09853009840518893;0.22988687397084906;1.9438079859535984
Fidelity (MSE);Tolerancja_0.1;3;8;0.05807697606193583;0.24099165143617698;0.463664766581684;4.754298475207014
Fidelity (MSE);Tolerancja_1.0;3;2;0.8059954430253019;0.8977724895680987;1.7426901257912935;17.711312208534352
Fidelity (MSE);Tolerancja_0.01;4;9;0.0087821255137546;0.09371299543689018;0.1725587198562435;1.5493540572461117
Fidelity (MSE);Tolerancja_0.1;4;3;0.05564950120484345;0.23590146503327072;0.5915925180714225;3.900151630578682
Fidelity (MSE);Tolerancja_1.0;4;1;0.32543688357564815;0.5704707561090648;0.9415957088969851;9.431575379671454
Fidelity (MSE);Tolerancja_0.01;5;13;0.008806355753565413;0.09384218536226345;0.6416317443326562;1.6569947425522333
Fidelity (MSE);Tolerancja_0.1;5;8;0.05425545463271774;0.2329280031097973;0.6542712255628924;4.112867523877271
Fidelity (MSE);Tolerancja_1.0;5;1;0.7970645544257793;0.8927847189696849;2.411623525739344;15.76412121960903
Fidelity (MSE);Tolerancja_0.01;6;14;0.00818723882338873;0.09048336213574698;0.3707696349884886;1.7613090471298845
Fidelity (MSE);Tolerancja_0.1;6;8;0.09546835969525976;0.30897954575547515;0.8079690437492237;6.014458973139789
Fidelity (MSE);Tolerancja_1.0;6;1;0.39107749184187285;0.6253618887027518;1.3866575457608317;12.173017517297138
Fidelity (MSE);Tolerancja_0.01;7;15;0.009893586196324255;0.0994665079125846;0.7720449946300896;1.8301264668488748
Fidelity (MSE);Tolerancja_0.1;7;10;0.04734408552269142;0.2175869608287487;0.6363286830353232;4.003474779710451
Fidelity (MSE);Tolerancja_1.0;7;3;0.9591910794124219;0.9793830095587843;2.2350608069291535;18.020083388781163
Fidelity (MSE);Tolerancja_0.01;8;70;0.009824688360941608;0.09911956598442917;1.3168951560053337;1.7909418755724864
Fidelity (MSE);Tolerancja_0.1;8;11;0.09431628784142436;0.30710956976529463;1.6889444530239066;5.54900925381492
Fidelity (MSE);Tolerancja_1.0;8;2;0.99552262528825;0.9977588011580003;2.253641954573429;18.028004874391556
Fidelity (MSE);Tolerancja_0.01;9;10;0.009200888735818325;0.09592126321008458;0.4898359420962839;1.7369051289566186
Fidelity (MSE);Tolerancja_0.1;9;7;0.09241219451576053;0.30399374091543485;0.5847605105678504;5.504601066504895
Fidelity (MSE);Tolerancja_1.0;9;2;0.9472538691578422;0.9732696795636049;1.8555975862742122;17.62359086732986
Fidelity (MSE);Tolerancja_0.01;10;12;0.009872267781647358;0.09935928633825505;0.3505942194685714;1.808854894522435
Fidelity (MSE);Tolerancja_0.1;10;10;0.05295443110463282;0.23011829806565323;0.5936213299979718;4.189347821583192
Fidelity (MSE);Tolerancja_1.0;10;2;0.7341716485392122;0.8568381693991067;1.5296928561832965;15.598903470932846
Fidelity (MSE);Tolerancja_0.01;11;44;0.009795180199595358;0.09897060270401185;1.0743383450658355;1.833130762679012
Fidelity (MSE);Tolerancja_0.1;11;12;0.09318262182563171;0.30525828707118124;1.289827134232718;5.653985540195164
Fidelity (MSE);Tolerancja_1.0;11;2;0.9576560959847087;0.9785990476107713;2.3974044311976606;18.125584461364213
Fidelity (MSE);Tolerancja_0.01;12;40;0.009735539277945321;0.09866883640717225;1.0728042878492907;1.5845339012284398
Fidelity (MSE);Tolerancja_0.1;12;10;0.08373685292992984;0.28937320700080343;1.2790756818306273;4.647076759959014
Fidelity (MSE);Tolerancja_1.0;12;1;0.9648352452123601;0.9822602736608868;2.4305207178369947;15.774227812140929
Fidelity (MSE);Tolerancja_0.01;13;17;0.009932594699971188;0.09966240364335584;0.7003969592492911;1.6117514407525155
Fidelity (MSE);Tolerancja_0.1;13;4;0.08927743906678881;0.29879330492296646;1.1849540177646487;4.832118452813397
Fidelity (MSE);Tolerancja_1.0;13;1;0.6884702131535183;0.829741051867098;1.4268301890323132;13.418664279701614
Fidelity (MSE);Tolerancja_0.01;14;37;0.009923402809418773;0.09961627783358888;1.119039715042974;1.8104644242955246
Fidelity (MSE);Tolerancja_0.1;14;15;0.08805677069612006;0.29674361104515806;1.9252769967258043;5.393132152876904
Fidelity (MSE);Tolerancja_1.0;14;1;0.7758739566535874;0.8808370772473122;2.068478764092289;16.008670737735535
Fidelity (MSE);Tolerancja_0.01;15;20;0.009106897845975313;0.09543006782966945;0.9695103410426986;1.7147096180691657
Fidelity (MSE);Tolerancja_0.1;15;11;0.09031649680761013;0.3005270317419219;1.531971605285336;5.399939490113594
Fidelity (MSE);Tolerancja_1.0;15;1;0.6496646605169113;0.8060177792808986;1.70660119694917;14.482714619196912
Fidelity (MSE);Tolerancja_0.01;16;16;0.009734391656495717;0.09866302071442835;0.76002688246502;1.7357784462597794
Fidelity (MSE);Tolerancja_0.1;16;8;0.08314196333112879;0.2883434815131578;1.0195388823622613;5.072826644733492
Fidelity (MSE);Tolerancja_1.0;16;2;0.8552301807448534;0.9247865595610986;1.996400335703397;16.269769219037755
Fidelity (MSE);Tolerancja_0.01;17;34;0.009698173235972978;0.09847930359203896;1.0567703140056937;1.7999817292238627
Fidelity (MSE);Tolerancja_0.1;17;8;0.07519959830058606;0.27422545159154366;1.1872499098021327;5.0122288089864595
Fidelity (MSE);Tolerancja_1.0;17;1;0.5968563993849013;0.7725648188889405;1.6565454447254133;14.120759468425517
Fidelity (MSE);Tolerancja_0.01;18;9;0.008195001405354781;0.09052624705219355;0.576889992240825;1.6004125936335465
Fidelity (MSE);Tolerancja_0.1;18;3;0.04219219060396095;0.20540737718972255;0.7671221532713144;3.6313949156660903
Fidelity (MSE);Tolerancja_1.0;18;1;0.3554737947954539;0.5962162315766436;1.2588898107022928;10.540500646114815
Fidelity (MSE);Tolerancja_0.01;19;7;0.0009568647305534661;0.030933230199147746;0.17258849180442493;0.5296539006281898
Fidelity (MSE);Tolerancja_0.1;19;4;0.061417445275043905;0.2478254330673991;0.5970612762303258;4.2433883061664455
Fidelity (MSE);Tolerancja_1.0;19;1;0.2790982780560883;0.5282975279670428;1.3156226935750572;9.045768727628182
Fidelity (MSE);Tolerancja_0.01;20;43;0.009980671993212283;0.09990331322439854;1.2377796303235407;1.502300877859407
Fidelity (MSE);Tolerancja_0.1;20;14;0.07627309743113644;0.2761758451261378;1.7390975147422107;4.153007554860884
Fidelity (MSE);Tolerancja_1.0;20;2;0.8002637807778876;0.8945746367843701;2.331273415524949;13.452209128772969
Fidelity (MSE);Tolerancja_0.01;21;21;0.006874708803279106;0.08291386375799349;0.6251427243754755;1.4565277411950819
Fidelity (MSE);Tolerancja_0.1;21;16;0.06149942755315613;0.2479907811858258;1.072675901789066;4.356393924809371
Fidelity (MSE);Tolerancja_1.0;21;3;0.9597903458455342;0.9796889025836386;2.363501376746245;17.2099574145882
Fidelity (MSE);Tolerancja_0.01;22;7;0.007174952341624184;0.0847050904115224;0.47348345415316206;1.5156874798767836
Fidelity (MSE);Tolerancja_0.1;22;5;0.018967904363534672;0.1377240152026315;0.6036960465975039;2.464392216652338
Fidelity (MSE);Tolerancja_1.0;22;1;0.9258453144751955;0.9622085607991624;2.0718965428591645;17.217471365040453
Fidelity (MSE);Tolerancja_0.01;23;15;0.009689162766814061;0.09843354492658517;0.2077796485110257;1.7180982574622872
Fidelity (MSE);Tolerancja_0.1;23;6;0.09425040537198863;0.30700228887092784;0.6655524972870559;5.358540098697768
Fidelity (MSE);Tolerancja_1.0;23;1;0.6717578071409237;0.8196083254463218;2.097319913513985;14.305769814560312
Fidelity (MSE);Tolerancja_0.01;24;13;0.008024169651558312;0.08957772966289285;0.5094693470839786;1.635059360880178
Fidelity (MSE);Tolerancja_0.1;24;8;0.07054587741483068;0.2656047390669652;0.54463154385527;4.848074588850368
Fidelity (MSE);Tolerancja_1.0;24;1;0.9328016875401217;0.9658165910462099;2.2819204130228528;17.62901855211509
Fidelity (MSE);Tolerancja_0.01;25;29;0.009818173788446138;0.09908669834264404;0.8812657690074541;1.6484726666337248
Fidelity (MSE);Tolerancja_0.1;25;9;0.09042600346517582;0.30070916757753796;0.9884229282292063;5.002799080493855
Fidelity (MSE);Tolerancja_1.0;25;2;0.663208426951296;0.8143760967460281;1.8805532659426847;13.548506089115756
Fidelity (MSE);Tolerancja_0.01;26;18;0.008301996252826887;0.09111529099348192;0.6990951540259696;1.6320637199806056
Fidelity (MSE);Tolerancja_0.1;26;10;0.07197109788551165;0.26827429598362873;0.7281091008595189;4.805348703869484
Fidelity (MSE);Tolerancja_1.0;26;3;0.8513984377712279;0.922712543412751;2.002407532307993;16.527694195507856
Fidelity (MSE);Tolerancja_0.01;27;30;0.009856933905125667;0.09928209257023982;0.928016417629566;1.7352338674657457
Fidelity (MSE);Tolerancja_0.1;27;9;0.09459351870066297;0.30756059354322846;0.932977150527047;5.375486599826684
Fidelity (MSE);Tolerancja_1.0;27;1;0.557092693923446;0.7463864239945994;1.5476578653389392;13.045202489218122
