Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Energetyczne;Prog_Energii_99.0%;0;25;0.4217028458499677;0.6493865149893149;2.3248003801513026;9.847467561274906
Energetyczne;Prog_Energii_99.9%;0;218;0.04331625838663782;0.2081255832103248;0.9773635137878509;3.1560709716443944
Energetyczne;Prog_Energii_99.99%;0;1706;0.004346004809380135;0.06592423537197936;0.46100572744062696;0.9996924086698972
Energetyczne;Prog_Energii_99.0%;1;23;0.25704139461494435;0.5069924995647809;1.6241642613214147;9.786408618628483
Energetyczne;Prog_Energii_99.9%;1;205;0.026741201342700215;0.16352737184551158;0.6024275504659666;3.156547054610017
Energetyczne;Prog_Energii_99.99%;1;1737;0.0026831320044327753;0.05179895756125576;0.22517816430430848;0.9998683711270014
Energetyczne;Prog_Energii_99.0%;2;25;0.316591572584303;0.5626647070718964;1.8054215057120127;9.82598554732903
Energetyczne;Prog_Energii_99.9%;2;218;0.032560284656998235;0.18044468586522086;0.8137387419912079;3.1511606346005103
Energetyczne;Prog_Energii_99.99%;2;1762;0.0032751774933991278;0.05722916645731552;0.22013777688191993;0.9994104045047483
Energetyczne;Prog_Energii_99.0%;3;32;0.25082973916192547;0.5008290518349804;4.175696066959354;9.765484111766751
Energetyczne;Prog_Energii_99.9%;3;330;0.026178969255933066;0.16179916333508362;3.7637213344681233;3.1548632273962554
Energetyczne;Prog_Energii_99.99%;3;2222;0.002629440450311845;0.051278069877013166;1.7930880711554291;0.9998524942419528
Energetyczne;Prog_Energii_99.0%;4;28;0.3605430371001547;0.6004523603918588;1.8516325064921153;9.922657683211002
Energetyczne;Prog_Energii_99.9%;4;369;0.036562816386772945;0.1912140590719546;0.6847988447263322;3.1598704202779206
Energetyczne;Prog_Energii_99.99%;4;2255;0.0036587682769503756;0.06048775311540656;0.24540896512122767;0.9995784974499317
Energetyczne;Prog_Energii_99.0%;5;36;0.3633781773223428;0.6028085743603377;1.841485635988965;9.910173447967441
Energetyczne;Prog_Energii_99.9%;5;398;0.036902642242279696;0.19210060448181754;0.7054831287777468;3.1581340923930004
Energetyczne;Prog_Energii_99.99%;5;2328;0.003697060649477183;0.060803459190059105;0.2533515527678798;0.999608918053808
Energetyczne;Prog_Energii_99.0%;6;34;0.28512022330203934;0.5339665001683527;1.8507778679303941;9.668839306748723
Energetyczne;Prog_Energii_99.9%;6;374;0.030405198201043003;0.17437086396827597;0.9444703868393889;3.1574337771314096
Energetyczne;Prog_Energii_99.99%;6;2244;0.003046593777553868;0.05519595798202861;0.2183557915180625;0.999465037492102
Energetyczne;Prog_Energii_99.0%;7;39;0.25273159921053856;0.5027241780644119;1.8494749971691746;9.998520594019226
Energetyczne;Prog_Energii_99.9%;7;384;0.02518661190169018;0.15870290451560795;1.3633216203448977;3.1563913739725953
Energetyczne;Prog_Energii_99.99%;7;2450;0.0025257549185395897;0.05025688926445398;0.46096665487857313;0.9995432171905692
Energetyczne;Prog_Energii_99.0%;8;12;0.36300764772745725;0.602501159938682;2.6889643132284418;9.674113142164769
Energetyczne;Prog_Energii_99.9%;8;109;0.03853896572691379;0.19631343745886012;1.179621222742779;3.15212406478617
Energetyczne;Prog_Energii_99.99%;8;1055;0.0038782602061529546;0.06227567909025926;0.7230645298577283;0.9999349471553333
Energetyczne;Prog_Energii_99.0%;9;50;0.20570086859872844;0.453542576390275;2.3881367849221604;9.865152066536858
Energetyczne;Prog_Energii_99.9%;9;412;0.021106390191143284;0.1452803847432381;1.6512663424060037;3.1600408922661765
Energetyczne;Prog_Energii_99.99%;9;2417;0.0021118322713492;0.045954676272923524;0.4775216192824958;0.9995751076096429
Energetyczne;Prog_Energii_99.0%;10;44;0.32528331657899073;0.570336143496965;1.8188419958671567;9.90076353824513
Energetyczne;Prog_Energii_99.9%;10;480;0.033085373410654186;0.1818938520419373;0.8101198095848083;3.157590551925719
Energetyczne;Prog_Energii_99.99%;10;2557;0.003317479284643452;0.057597563183206385;0.25269957212976735;0.9998662367065895
Energetyczne;Prog_Energii_99.0%;11;21;0.28220507440616904;0.5312297755267198;1.8759779354923118;9.807322850955671
Energetyczne;Prog_Energii_99.9%;11;228;0.0291736181980912;0.17080286355354585;0.6603096554345687;3.153284894613553
Energetyczne;Prog_Energii_99.99%;11;1804;0.0029303184934387125;0.054132416290414306;0.2724425809385975;0.9993680846222116
Energetyczne;Prog_Energii_99.0%;12;40;0.2795298769417177;0.5287058510568213;1.961300690573186;9.824188749402882
Energetyczne;Prog_Energii_99.9%;12;423;0.028951597165765407;0.17015168869501532;0.8382950946153098;3.161686791300178
Energetyczne;Prog_Energii_99.99%;12;2370;0.0028932083023054415;0.053788551777357245;0.22230925488750897;0.9994761437981435
Energetyczne;Prog_Energii_99.0%;13;16;0.2547796988310577;0.5047570691244033;1.5374003128903149;9.535555969835958
Energetyczne;Prog_Energii_99.9%;13;144;0.027819924457169395;0.16679305877994263;0.6445201757409871;3.150950515928867
Energetyczne;Prog_Energii_99.99%;13;1263;0.0027997935940880796;0.05291307583280412;0.26707218195299465;0.9996008515841596
Energetyczne;Prog_Energii_99.0%;14;61;0.30042299391771177;0.5481085603397485;2.0944276180122134;9.931647478573193
Energetyczne;Prog_Energii_99.9%;14;603;0.030449077774136662;0.1744966411543118;1.0253314638162738;3.1618537850703827
Energetyczne;Prog_Energii_99.99%;14;2842;0.0030409864351361635;0.055145139723607225;0.2122753934266921;0.9992219197453257
Energetyczne;Prog_Energii_99.0%;15;27;0.27697822008081796;0.526287203037294;1.5838125532595648;9.879426096614658
Energetyczne;Prog_Energii_99.9%;15;254;0.028267897992730655;0.16813059802644686;0.733077027088392;3.1561356768619797
Energetyczne;Prog_Energii_99.99%;15;1807;0.002836851639663715;0.053262103222307275;0.22217241617052208;0.9998324289442364
Energetyczne;Prog_Energii_99.0%;16;22;0.42235728997379757;0.6498902137852189;2.192310835424165;9.72807143601065
Energetyczne;Prog_Energii_99.9%;16;264;0.04446937239350923;0.21087762421250206;1.0349980570135484;3.1565832952723962
Energetyczne;Prog_Energii_99.99%;16;1917;0.004460168735522281;0.06678449472386747;0.44625566184535614;0.9996832106574418
Energetyczne;Prog_Energii_99.0%;17;27;0.3897081503798896;0.6242660894041014;2.1531987342074226;9.835617290752321
Energetyczne;Prog_Energii_99.9%;17;273;0.04024206741056883;0.2006042557140023;0.8273247009112596;3.1606180755109547
Energetyczne;Prog_Energii_99.99%;17;2057;0.004026985941444205;0.0634585371832995;0.24066272026065327;0.9998202628012376
Energetyczne;Prog_Energii_99.0%;18;29;0.35079510276135273;0.5922795815840293;2.1372821416389174;9.980286067331757
Energetyczne;Prog_Energii_99.9%;18;229;0.0351915293266072;0.18759405461423131;0.7284492901097499;3.161078632110607
Energetyczne;Prog_Energii_99.99%;18;1843;0.00351919766076051;0.05932282579884837;0.2840666579644662;0.99962718655868
Energetyczne;Prog_Energii_99.0%;19;33;0.3017455104443049;0.54931367218039;2.154867672799675;9.881264871669948
Energetyczne;Prog_Energii_99.9%;19;343;0.030891585426428957;0.1757600222645325;1.2246527805233702;3.1616386443702513
Energetyczne;Prog_Energii_99.99%;19;2238;0.0030873723545121706;0.05556412830695871;0.439045744108963;0.9995088361540209
Energetyczne;Prog_Energii_99.0%;20;29;0.32576001656690096;0.5707539019287569;2.0327963868546646;9.845043905059772
Energetyczne;Prog_Energii_99.9%;20;278;0.03343539808860544;0.18285348804057702;0.6885044277782777;3.1540750082817812
Energetyczne;Prog_Energii_99.99%;20;1885;0.0033590544649067865;0.05795735039584528;0.2062839899550939;0.9997174917943061
Energetyczne;Prog_Energii_99.0%;21;55;0.28470029706253536;0.5335731412491969;1.756654522640627;9.893592196956156
Energetyczne;Prog_Energii_99.9%;21;433;0.029029585257244195;0.1703807068222344;0.6069471758973313;3.1592242960015557
Energetyczne;Prog_Energii_99.99%;21;2522;0.002904998976026234;0.0538980424136743;0.18729953396369847;0.999385483697157
Energetyczne;Prog_Energii_99.0%;22;35;0.38703058062709017;0.6221178189274843;2.2609758078018856;9.86515453962932
Energetyczne;Prog_Energii_99.9%;22;356;0.039591323647936404;0.19897568607228472;1.0967432508008983;3.1552317471245135
Energetyczne;Prog_Energii_99.99%;22;2243;0.0039749789772314855;0.06304743434297296;0.35764678693170815;0.9997667068800996
Energetyczne;Prog_Energii_99.0%;23;35;0.30569656760133673;0.5528983338746254;2.213057507127798;9.996030828207697
Energetyczne;Prog_Energii_99.9%;23;392;0.030516534639875952;0.1746898240879415;0.597606475448984;3.1582747857460727
Energetyczne;Prog_Energii_99.99%;23;2313;0.0030577093822516696;0.0552965585027827;0.2341652200009463;0.9997246683925555
Energetyczne;Prog_Energii_99.0%;24;46;0.3212197034583847;0.566762475344288;1.910436258487847;9.856982932469997
