Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Fidelity (MAX_ERROR);Tolerancja_0.01;0;4851;7.2798165917098135e-06;0.002698113524614895;0.009972899629834497;0.04091490167565223
Fidelity (MAX_ERROR);Tolerancja_0.1;0;3735;0.0004764566430544524;0.02182788682063503;0.09989110785018607;0.3310038050311536
Fidelity (MAX_ERROR);Tolerancja_1.0;0;292;0.03227632519541033;0.17965613041421752;0.9957705879783365;2.7243527169135793
Fidelity (MAX_ERROR);Tolerancja_0.01;1;4776;7.591010872262508e-06;0.0027551789183758117;0.009920182993620408;0.05318285129622774
Fidelity (MAX_ERROR);Tolerancja_0.1;1;3105;0.0006762608877730551;0.026005016588594113;0.0993863800939705;0.5019713677986591
Fidelity (MAX_ERROR);Tolerancja_1.0;1;67;0.08809355040280269;0.2968055767717357;0.9957859495331185;5.729198473487022
Fidelity (MAX_ERROR);Tolerancja_0.01;2;4809;6.6557323447849735e-06;0.0025798706062097328;0.00986622057434694;0.04505306796745058
Fidelity (MAX_ERROR);Tolerancja_0.1;2;3216;0.0006983618348007022;0.026426536564610623;0.09967257292060694;0.4614946754011468
Fidelity (MAX_ERROR);Tolerancja_1.0;2;94;0.0750673022473881;0.27398412772894;0.9871256326438971;4.78466846316365
Fidelity (MAX_ERROR);Tolerancja_0.01;3;4862;7.728623112734414e-06;0.0027800401279000297;0.009932469462590632;0.05420699458151036
Fidelity (MAX_ERROR);Tolerancja_0.1;3;4542;7.550677636512852e-05;0.008689463525737854;0.09961176687228956;0.16943269902068187
Fidelity (MAX_ERROR);Tolerancja_1.0;3;3121;0.0011370006298173458;0.03371943993925976;0.999535558678966;0.6574831347703288
Fidelity (MAX_ERROR);Tolerancja_0.01;4;4840;7.695248021533748e-06;0.0027740310058710135;0.0099594253498001;0.0458417051702621
Fidelity (MAX_ERROR);Tolerancja_0.1;4;3594;0.0007594386714280106;0.0275579148599456;0.09973534652771887;0.45540291562824436
Fidelity (MAX_ERROR);Tolerancja_1.0;4;191;0.07347790263302352;0.2710680774879689;0.9932033694638216;4.479482335624271
Fidelity (MAX_ERROR);Tolerancja_0.01;5;4832;8.542341957693875e-06;0.002922728512485187;0.009897041652244809;0.04804965909913214
Fidelity (MAX_ERROR);Tolerancja_0.1;5;3564;0.0008515838499103684;0.029181909634401385;0.09923951503582806;0.4797506178917714
Fidelity (MAX_ERROR);Tolerancja_1.0;5;209;0.07204853783074468;0.26841858696957754;0.9900340557947409;4.412801785955931
Fidelity (MAX_ERROR);Tolerancja_0.01;6;4833;8.171517376419713e-06;0.002858586604673665;0.00997602425348898;0.051762075928545745
Fidelity (MAX_ERROR);Tolerancja_0.1;6;3355;0.0008607966135922592;0.029339335602434135;0.09975850204869552;0.531264266985415
