Strategia;Konfiguracja;Indeks sygnału;Wymagane K;MSE;RMSE;Max Error;PRD
Energetyczne;Prog_Energii_90.0%;0;13;1.933607203587317;1.3905420538722721;4.148595271334828;22.014154678486804
Energetyczne;Prog_Energii_95.0%;0;13;1.933607203587317;1.3905420538722721;4.148595271334828;22.014154678486804
Energetyczne;Prog_Energii_99.0%;0;13;1.933607203587317;1.3905420538722721;4.148595271334828;22.014154678486804
Energetyczne;Prog_Energii_90.0%;1;20;1.488844185797996;1.2201820297799817;4.299355273277504;21.43987473192976
Energetyczne;Prog_Energii_95.0%;1;20;1.488844185797996;1.2201820297799817;4.299355273277504;21.43987473192976
Energetyczne;Prog_Energii_99.0%;1;20;1.488844185797996;1.2201820297799817;4.299355273277504;21.43987473192976
Energetyczne;Prog_Energii_90.0%;2;10;1.5908291993239971;1.26128077735451;4.611077077014679;21.102113629624927
Energetyczne;Prog_Energii_95.0%;2;10;1.5908291993239971;1.26128077735451;4.611077077014679;21.102113629624927
Energetyczne;Prog_Energii_99.0%;2;10;1.5908291993239971;1.26128077735451;4.611077077014679;21.102113629624927
Energetyczne;Prog_Energii_90.0%;3;18;1.7479240873017483;1.3220908014587154;5.137868140007513;21.768414983482863
Energetyczne;Prog_Energii_95.0%;3;18;1.7479240873017483;1.3220908014587154;5.137868140007513;21.768414983482863
Energetyczne;Prog_Energii_99.0%;3;18;1.7479240873017483;1.3220908014587154;5.137868140007513;21.768414983482863
Energetyczne;Prog_Energii_90.0%;4;30;1.879154752663165;1.3708226554383922;5.4047154370819275;21.950697929050207
Energetyczne;Prog_Energii_95.0%;4;30;1.879154752663165;1.3708226554383922;5.4047154370819275;21.950697929050207
Energetyczne;Prog_Energii_99.0%;4;30;1.879154752663165;1.3708226554383922;5.4047154370819275;21.950697929050207
Energetyczne;Prog_Energii_90.0%;5;16;1.5847998953865075;1.2588883569985496;4.269218745965359;20.870898297702716
Energetyczne;Prog_Energii_95.0%;5;16;1.5847998953865075;1.2588883569985496;4.269218745965359;20.870898297702716
Energetyczne;Prog_Energii_99.0%;5;16;1.5847998953865075;1.2588883569985496;4.269218745965359;20.870898297702716
Energetyczne;Prog_Energii_90.0%;6;23;1.7140813832181727;1.3092293088753295;4.085187602656455;21.855930455441726
Energetyczne;Prog_Energii_95.0%;6;23;1.7140813832181727;1.3092293088753295;4.085187602656455;21.855930455441726
Energetyczne;Prog_Energii_99.0%;6;23;1.7140813832181727;1.3092293088753295;4.085187602656455;21.855930455441726
Energetyczne;Prog_Energii_90.0%;7;18;2.0178889933422717;1.4205241966760973;4.356429417502654;21.520141218966423
Energetyczne;Prog_Energii_95.0%;7;18;2.0178889933422717;1.4205241966760973;4.356429417502654;21.520141218966423
Energetyczne;Prog_Energii_99.0%;7;18;2.0178889933422717;1.4205241966760973;4.356429417502654;21.520141218966423
Energetyczne;Prog_Energii_90.0%;8;17;1.7096175509697091;1.3075234418432846;4.395175732784718;21.653077398884385
Energetyczne;Prog_Energii_95.0%;8;17;1.7096175509697091;1.3075234418432846;4.395175732784718;21.653077398884385
Energetyczne;Prog_Energii_99.0%;8;17;1.7096175509697091;1.3075234418432846;4.395175732784718;21.653077398884385
Energetyczne;Prog_Energii_90.0%;9;13;2.0584186751636504;1.4347190230716433;4.5236623538828304;21.170309688864588
Energetyczne;Prog_Energii_95.0%;9;13;2.0584186751636504;1.4347190230716433;4.5236623538828304;21.170309688864588
Energetyczne;Prog_Energii_99.0%;9;13;2.0584186751636504;1.4347190230716433;4.5236623538828304;21.170309688864588
Energetyczne;Prog_Energii_90.0%;10;15;1.8443005265377255;1.358050266572532;4.428635879671619;21.740667944164773
Energetyczne;Prog_Energii_95.0%;10;15;1.8443005265377255;1.358050266572532;4.428635879671619;21.740667944164773
Energetyczne;Prog_Energii_99.0%;10;15;1.8443005265377255;1.358050266572532;4.428635879671619;21.740667944164773
Energetyczne;Prog_Energii_90.0%;11;9;1.2265351924934023;1.107490493184209;2.8637848013245417;21.76705443130359
Energetyczne;Prog_Energii_95.0%;11;9;1.2265351924934023;1.107490493184209;2.8637848013245417;21.76705443130359
Energetyczne;Prog_Energii_99.0%;11;9;1.2265351924934023;1.107490493184209;2.8637848013245417;21.76705443130359
Energetyczne;Prog_Energii_90.0%;12;12;1.5065087150018754;1.2273991669387248;3.7214610463049302;21.151864209936104
Energetyczne;Prog_Energii_95.0%;12;12;1.5065087150018754;1.2273991669387248;3.7214610463049302;21.151864209936104
Energetyczne;Prog_Energii_99.0%;12;12;1.5065087150018754;1.2273991669387248;3.7214610463049302;21.151864209936104
Energetyczne;Prog_Energii_90.0%;13;17;1.1948492571395317;1.0930916050997426;4.313771838373668;21.780174149233662
Energetyczne;Prog_Energii_95.0%;13;17;1.1948492571395317;1.0930916050997426;4.313771838373668;21.780174149233662
Energetyczne;Prog_Energii_99.0%;13;17;1.1948492571395317;1.0930916050997426;4.313771838373668;21.780174149233662
Energetyczne;Prog_Energii_90.0%;14;17;2.1118609954773153;1.453224344510274;4.251948822134811;22.19640185872762
Energetyczne;Prog_Energii_95.0%;14;17;2.1118609954773153;1.453224344510274;4.251948822134811;22.19640185872762
Energetyczne;Prog_Energii_99.0%;14;17;2.1118609954773153;1.453224344510274;4.251948822134811;22.19640185872762
Energetyczne;Prog_Energii_90.0%;15;13;2.1046100790997597;1.4507274310151304;5.041759197520003;21.77967413929037
Energetyczne;Prog_Energii_95.0%;15;13;2.1046100790997597;1.4507274310151304;5.041759197520003;21.77967413929037
Energetyczne;Prog_Energii_99.0%;15;13;2.1046100790997597;1.4507274310151304;5.041759197520003;21.77967413929037
Energetyczne;Prog_Energii_90.0%;16;32;1.787058267442766;1.336808986894824;4.748100049138932;21.85039751875519
Energetyczne;Prog_Energii_95.0%;16;32;1.787058267442766;1.336808986894824;4.748100049138932;21.85039751875519
Energetyczne;Prog_Energii_99.0%;16;32;1.787058267442766;1.336808986894824;4.748100049138932;21.85039751875519
Energetyczne;Prog_Energii_90.0%;17;8;2.288378288163842;1.5127386714709987;4.228416631139299;21.381703802525053
Energetyczne;Prog_Energii_95.0%;17;8;2.288378288163842;1.5127386714709987;4.228416631139299;21.381703802525053
Energetyczne;Prog_Energii_99.0%;17;8;2.288378288163842;1.5127386714709987;4.228416631139299;21.381703802525053
Energetyczne;Prog_Energii_90.0%;18;39;0.9423731779851511;0.9707590730892764;4.576941753046006;22.340980796585637
Energetyczne;Prog_Energii_95.0%;18;39;0.9423731779851511;0.9707590730892764;4.576941753046006;22.340980796585637
Energetyczne;Prog_Energii_99.0%;18;39;0.9423731779851511;0.9707590730892764;4.576941753046006;22.340980796585637
Energetyczne;Prog_Energii_90.0%;19;20;1.4724833801230168;1.2134592618308275;4.4217939842041805;21.418451821610823
Energetyczne;Prog_Energii_95.0%;19;20;1.4724833801230168;1.2134592618308275;4.4217939842041805;21.418451821610823
Energetyczne;Prog_Energii_99.0%;19;20;1.4724833801230168;1.2134592618308275;4.4217939842041805;21.418451821610823
Energetyczne;Prog_Energii_90.0%;20;6;1.756815581519564;1.325449199901514;3.8845743316165353;21.178728488290027
Energetyczne;Prog_Energii_95.0%;20;6;1.756815581519564;1.325449199901514;3.8845743316165353;21.178728488290027
Energetyczne;Prog_Energii_99.0%;20;6;1.756815581519564;1.325449199901514;3.8845743316165353;21.178728488290027
Energetyczne;Prog_Energii_90.0%;21;15;2.178693421406082;1.4760397763631175;4.4720190819122925;22.1201952305248
Energetyczne;Prog_Energii_95.0%;21;15;2.178693421406082;1.4760397763631175;4.4720190819122925;22.1201952305248
Energetyczne;Prog_Energii_99.0%;21;15;2.178693421406082;1.4760397763631175;4.4720190819122925;22.1201952305248
Energetyczne;Prog_Energii_90.0%;22;20;1.7211359241936033;1.3119207004211815;4.543014734688172;21.509895772964637
Energetyczne;Prog_Energii_95.0%;22;20;1.7211359241936033;1.3119207004211815;4.543014734688172;21.509895772964637
